"";"Funcao";"Nome_funcao";"Funcao_Maius";"ente";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"15";"05 - Defesa Nacional";"Defesa Nacional";"DEFESA NACIONAL";"União";0,0085;0,0067;0,0069;0,0071;0,0069;0,0071;0,0071;0,0078;0,0082;0,0073;0,0076;0,007;0,0069;0,0068;0,0098;0,0104
"16";"06 - Segurança Pública";"Segurança Pública";"SEGURANÇA PÚBLICA";"Estados";0,0092;0,0114;0,0102;0,0105;0,0114;0,0111;0,0108;0,0115;0,0098;0,0101;0,0086;0,0081;0,0094;0,0113;0,0115;0,0112
"17";"06 - Segurança Pública";"Segurança Pública";"SEGURANÇA PÚBLICA";"Municípios";4e-04;4e-04;4e-04;4e-04;4e-04;5e-04;5e-04;6e-04;6e-04;6e-04;7e-04;7e-04;6e-04;8e-04;8e-04;8e-04
"18";"06 - Segurança Pública";"Segurança Pública";"SEGURANÇA PÚBLICA";"União";0,0015;0,0014;0,0014;0,0014;0,0014;0,0017;0,0019;0,0024;0,0023;0,0016;0,0016;0,0016;0,0014;0,0014;0,0014;0,0015
"19";"07 - Relações Exteriores";"Relações Exteriores";"RELAÇÕES EXTERIORES";"Estados";3e-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"07 - Relações Exteriores";"Relações Exteriores";"RELAÇÕES EXTERIORES";"Municípios";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";"07 - Relações Exteriores";"Relações Exteriores";"RELAÇÕES EXTERIORES";"União";9e-04;7e-04;7e-04;7e-04;6e-04;5e-04;6e-04;5e-04;5e-04;4e-04;4e-04;4e-04;4e-04;5e-04;4e-04;4e-04
"22";"08 - Assistência Social";"Assistência Social";"ASSISTÊNCIA SOCIAL";"Estados";0,0027;0,0013;9e-04;0,0011;0,0011;0,001;9e-04;0,0011;0,001;0,001;9e-04;0,001;8e-04;0,001;8e-04;8e-04
"23";"08 - Assistência Social";"Assistência Social";"ASSISTÊNCIA SOCIAL";"Municípios";0,0016;0,0021;0,0017;0,0016;0,0018;0,0021;0,0021;0,0022;0,0023;0,0021;0,0021;0,0023;0,0021;0,0024;0,0022;0,0023
"24";"08 - Assistência Social";"Assistência Social";"ASSISTÊNCIA SOCIAL";"União";0,0044;0,0049;0,0071;0,0073;0,0089;0,0091;0,0093;0,01;0,0101;0,0104;0,0118;0,0121;0,0122;0,0122;0,0127;0,0129
"25";"09 - Previdência Social";"Previdência Social";"PREVIDÊNCIA SOCIAL";"Estados";0,0121;0,0105;0,012;0,012;0,0127;0,012;0,0145;0,0168;0,016;0,0165;0,0176;0,0156;0,0168;0,0196;0,0222;0,0217
"26";"09 - Previdência Social";"Previdência Social";"PREVIDÊNCIA SOCIAL";"Municípios";0,0029;0,003;0,0034;0,003;0,0033;0,004;0,0041;0,0042;0,0037;0,0036;0,0041;0,0046;0,0044;0,0051;0,0055;0,0062
"27";"09 - Previdência Social";"Previdência Social";"PREVIDÊNCIA SOCIAL";"União";0,0828;0,0847;0,0845;0,0868;0,0882;0,086;0,083;0,0873;0,0838;0,0821;0,0829;0,0835;0,0856;0,0901;0,095;0,0998
"28";"10 - Saúde";"Saúde";"SAÚDE";"Estados";0,0084;0,0116;0,0133;0,0138;0,0142;0,014;0,0145;0,0152;0,0143;0,0132;0,0134;0,0128;0,0132;0,0149;0,0145;0,0142
"29";"10 - Saúde";"Saúde";"SAÚDE";"Municípios";0,0115;0,014;0,0129;0,0121;0,0136;0,0153;0,0156;0,0172;0,0172;0,0159;0,0161;0,0188;0,0169;0,0197;0,0186;0,0201
"30";"10 - Saúde";"Saúde";"SAÚDE";"União";0,0171;0,0158;0,0168;0,0168;0,0165;0,0165;0,0158;0,0174;0,0156;0,0162;0,0163;0,0157;0,016;0,0167;0,017;0,0176
"31";"11 - Trabalho";"Trabalho";"TRABALHO";"Estados";0,0081;3e-04;3e-04;3e-04;3e-04;2e-04;3e-04;3e-04;3e-04;2e-04;2e-04;2e-04;2e-04;1e-04;2e-04;1e-04
"32";"11 - Trabalho";"Trabalho";"TRABALHO";"Municípios";2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;3e-04;2e-04;2e-04;1e-04;1e-04
"33";"11 - Trabalho";"Trabalho";"TRABALHO";"União";0,0057;0,0055;0,0055;0,0059;0,0068;0,0072;0,0072;0,0088;0,008;0,0083;0,0088;0,0124;0,0124;0,0112;0,0116;0,0109
"34";"12 - Educação";"Educação";"EDUCAÇÃO";"Estados";0,0156;0,0226;0,0199;0,0198;0,0202;0,0201;0,0216;0,0212;0,0194;0,0198;0,0175;0,0163;0,0159;0,0178;0,0172;0,0167
"35";"12 - Educação";"Educação";"EDUCAÇÃO";"Municípios";0,0133;0,0161;0,0139;0,0134;0,0147;0,0173;0,0174;0,0186;0,0189;0,0177;0,0173;0,0206;0,0181;0,0215;0,0197;0,0218
"36";"12 - Educação";"Educação";"EDUCAÇÃO";"União";0,0089;0,0083;0,0074;0,0075;0,0072;0,0079;0,0081;0,011;0,0113;0,0121;0,0136;0,0142;0,0148;0,0151;0,0151;0,0149
"37";"13 - Cultura";"Cultura";"CULTURA";"Estados";9e-04;4e-04;4e-04;5e-04;6e-04;5e-04;6e-04;7e-04;7e-04;5e-04;5e-04;5e-04;5e-04;4e-04;4e-04;4e-04
"38";"13 - Cultura";"Cultura";"CULTURA";"Municípios";6e-04;7e-04;6e-04;5e-04;6e-04;7e-04;8e-04;8e-04;8e-04;8e-04;7e-04;8e-04;7e-04;7e-04;6e-04;6e-04
"39";"13 - Cultura";"Cultura";"CULTURA";"União";2e-04;1e-04;2e-04;2e-04;2e-04;3e-04;3e-04;3e-04;3e-04;3e-04;4e-04;4e-04;3e-04;3e-04;3e-04;3e-04
"40";"14 - Direitos da Cidadania";"Direitos da Cidadania";"DIREITOS DA CIDADANIA";"Estados";6e-04;0,001;0,0011;0,0011;0,0013;0,0013;0,0013;0,0014;0,0014;0,0014;0,0016;0,0018;0,0018;0,0017;0,0018;0,0018
"41";"14 - Direitos da Cidadania";"Direitos da Cidadania";"DIREITOS DA CIDADANIA";"Municípios";0;0;0;0;0;0;0;0;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04
"42";"14 - Direitos da Cidadania";"Direitos da Cidadania";"DIREITOS DA CIDADANIA";"União";3e-04;2e-04;3e-04;4e-04;4e-04;3e-04;5e-04;5e-04;5e-04;3e-04;3e-04;3e-04;2e-04;2e-04;4e-04;3e-04
"43";"15 - Urbanismo";"Urbanismo";"URBANISMO";"Estados";0,0012;8e-04;8e-04;8e-04;0,001;6e-04;0,0011;0,0012;0,0015;9e-04;0,0011;0,0013;0,0013;9e-04;9e-04;8e-04
"44";"15 - Urbanismo";"Urbanismo";"URBANISMO";"Municípios";0,0068;0,0076;0,0073;0,0058;0,007;0,0079;0,0085;0,0073;0,008;0,0076;0,0081;0,0077;0,0079;0,0083;0,0077;0,0068
"45";"15 - Urbanismo";"Urbanismo";"URBANISMO";"União";3e-04;2e-04;6e-04;0,001;9e-04;0,0016;0,0014;0,0014;0,0012;0,001;0,001;9e-04;7e-04;7e-04;6e-04;0,001
"46";"16 - Habitação";"Habitação";"HABITAÇÃO";"Estados";3e-04;3e-04;5e-04;6e-04;5e-04;5e-04;7e-04;6e-04;8e-04;7e-04;5e-04;5e-04;5e-04;4e-04;3e-04;4e-04
"47";"16 - Habitação";"Habitação";"HABITAÇÃO";"Municípios";6e-04;6e-04;5e-04;4e-04;5e-04;5e-04;7e-04;9e-04;9e-04;8e-04;8e-04;6e-04;4e-04;5e-04;4e-04;3e-04
"48";"16 - Habitação";"Habitação";"HABITAÇÃO";"União";1e-04;1e-04;2e-04;3e-04;5e-04;2e-04;3e-04;3e-04;0;1e-04;1e-04;0;0;0;0;0
"49";"17 - Saneamento";"Saneamento";"SANEAMENTO";"Estados";0,002;0,0013;0,0012;0,0012;0,0014;0,0011;0,0014;0,001;8e-04;7e-04;6e-04;8e-04;7e-04;6e-04;5e-04;5e-04
"50";"17 - Saneamento";"Saneamento";"SANEAMENTO";"Municípios";0,0018;0,0018;0,0015;0,0013;0,0017;0,002;0,002;0,0021;0,0023;0,0019;0,0021;0,0023;0,0019;0,0021;0,002;0,0019
"51";"17 - Saneamento";"Saneamento";"SANEAMENTO";"União";1e-04;0;0;0;0;6e-04;6e-04;9e-04;4e-04;4e-04;6e-04;6e-04;3e-04;2e-04;1e-04;1e-04
"52";"18 - Gestão Ambiental";"Gestão Ambiental";"GESTÃO AMBIENTAL";"Estados";0,001;0,001;8e-04;9e-04;8e-04;7e-04;7e-04;8e-04;8e-04;7e-04;7e-04;8e-04;7e-04;7e-04;7e-04;7e-04
"53";"18 - Gestão Ambiental";"Gestão Ambiental";"GESTÃO AMBIENTAL";"Municípios";5e-04;5e-04;5e-04;4e-04;5e-04;5e-04;6e-04;6e-04;6e-04;6e-04;6e-04;7e-04;7e-04;7e-04;7e-04;7e-04
"54";"18 - Gestão Ambiental";"Gestão Ambiental";"GESTÃO AMBIENTAL";"União";8e-04;6e-04;6e-04;9e-04;6e-04;0,0012;0,0012;0,0011;9e-04;8e-04;0,0011;0,0012;0,0011;8e-04;9e-04;6e-04
"55";"19 - Ciência e Tecnologia";"Ciência e Tecnologia";"CIÊNCIA E TECNOLOGIA";"Estados";5e-04;6e-04;6e-04;6e-04;6e-04;7e-04;5e-04;7e-04;7e-04;7e-04;7e-04;6e-04;7e-04;6e-04;6e-04;6e-04
"56";"19 - Ciência e Tecnologia";"Ciência e Tecnologia";"CIÊNCIA E TECNOLOGIA";"Municípios";0;0;0;0;0;0;0;0;0;0;0;0;2e-04;0;0;0
"57";"19 - Ciência e Tecnologia";"Ciência e Tecnologia";"CIÊNCIA E TECNOLOGIA";"União";0,001;0,0012;0,0013;0,0015;0,0015;0,0015;0,0016;0,0019;0,0019;0,0015;0,0016;0,002;0,0014;0,0014;0,0011;0,0011
"58";"20 - Agricultura";"Agricultura";"AGRICULTURA";"Estados";0,0013;0,0014;0,0013;0,0014;0,0014;0,0013;0,0014;0,0014;0,0013;0,0011;0,0011;0,0012;0,0011;0,0011;0,0011;0,0011
"59";"20 - Agricultura";"Agricultura";"AGRICULTURA";"Municípios";5e-04;5e-04;4e-04;4e-04;5e-04;5e-04;5e-04;5e-04;6e-04;5e-04;5e-04;5e-04;5e-04;5e-04;4e-04;5e-04
"60";"20 - Agricultura";"Agricultura";"AGRICULTURA";"União";0,0037;0,0038;0,0039;0,0038;0,0041;0,0041;0,003;0,0044;0,0036;0,0035;0,0033;0,0037;0,0031;0,0035;0,004;0,0034
"61";"21 - Organização Agrária";"Organização Agrária";"ORGANIZAÇÃO AGRÁRIA";"Estados";1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;0;1e-04;1e-04;1e-04;0;0;0
"62";"21 - Organização Agrária";"Organização Agrária";"ORGANIZAÇÃO AGRÁRIA";"Municípios";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";"21 - Organização Agrária";"Organização Agrária";"ORGANIZAÇÃO AGRÁRIA";"União";9e-04;8e-04;0,0013;0,0017;0,0017;0,0018;0,0014;0,0015;0,0011;9e-04;0,0012;0,0014;7e-04;5e-04;5e-04;4e-04
"64";"22 - Indústria";"Indústria";"INDÚSTRIA";"Estados";0,001;6e-04;4e-04;5e-04;5e-04;4e-04;4e-04;5e-04;4e-04;3e-04;2e-04;3e-04;2e-04;2e-04;1e-04;1e-04
"65";"22 - Indústria";"Indústria";"INDÚSTRIA";"Municípios";1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;0
"66";"22 - Indústria";"Indústria";"INDÚSTRIA";"União";3e-04;3e-04;8e-04;7e-04;8e-04;0,001;7e-04;5e-04;4e-04;4e-04;4e-04;4e-04;4e-04;3e-04;3e-04;3e-04
"67";"23 - Comércio e Serviços";"Comércio e Serviços";"COMÉRCIO E SERVIÇOS";"Estados";9e-04;7e-04;4e-04;4e-04;4e-04;5e-04;7e-04;7e-04;5e-04;5e-04;4e-04;4e-04;4e-04;3e-04;3e-04;3e-04
"68";"23 - Comércio e Serviços";"Comércio e Serviços";"COMÉRCIO E SERVIÇOS";"Municípios";2e-04;3e-04;3e-04;2e-04;3e-04;3e-04;3e-04;3e-04;3e-04;3e-04;3e-04;3e-04;3e-04;3e-04;2e-04;2e-04
"69";"23 - Comércio e Serviços";"Comércio e Serviços";"COMÉRCIO E SERVIÇOS";"União";0,0012;0,0012;0,0011;0,0013;0,0012;0,0011;0,0011;0,0012;0,001;8e-04;8e-04;9e-04;8e-04;7e-04;5e-04;4e-04
"70";"24 - Comunicações";"Comunicações";"COMUNICAÇÕES";"Estados";0,002;1e-04;2e-04;2e-04;2e-04;1e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;1e-04;1e-04;1e-04;1e-04
"71";"24 - Comunicações";"Comunicações";"COMUNICAÇÕES";"Municípios";1e-04;1e-04;1e-04;0;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04
"72";"24 - Comunicações";"Comunicações";"COMUNICAÇÕES";"União";4e-04;4e-04;3e-04;2e-04;2e-04;3e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04
"73";"25 - Energia";"Energia";"ENERGIA";"Estados";2e-04;3e-04;2e-04;3e-04;7e-04;1e-04;1e-04;1e-04;1e-04;1e-04;2e-04;3e-04;1e-04;1e-04;0;0
"74";"25 - Energia";"Energia";"ENERGIA";"Municípios";2e-04;2e-04;2e-04;3e-04;2e-04;3e-04;3e-04;3e-04;2e-04;2e-04;1e-04;1e-04;1e-04;2e-04;2e-04;2e-04
"75";"25 - Energia";"Energia";"ENERGIA";"União";0,0053;0,0023;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;1e-04;2e-04;2e-04;2e-04;3e-04;3e-04;3e-04
"76";"26 - Transporte";"Transporte";"TRANSPORTE";"Estados";0,014;0,0045;0,0051;0,0059;0,0051;0,0053;0,0062;0,0077;0,0075;0,0057;0,0048;0,006;0,0059;0,0048;0,0045;0,0045
"77";"26 - Transporte";"Transporte";"TRANSPORTE";"Municípios";0,0019;0,0021;0,002;0,0016;0,0019;0,0021;0,0023;0,002;0,0022;0,0017;0,0018;0,0018;0,0012;0,0019;0,0019;0,0018
"78";"26 - Transporte";"Transporte";"TRANSPORTE";"União";0,0035;0,0018;0,0019;0,0031;0,0029;0,0045;0,0042;0,005;0,0053;0,0043;0,0046;0,0039;0,0036;0,0028;0,0022;0,0023
"79";"27 - Desporto e Lazer";"Desporto e Lazer";"DESPORTO E LAZER";"Estados";1e-04;1e-04;1e-04;2e-04;2e-04;2e-04;3e-04;2e-04;3e-04;4e-04;4e-04;8e-04;4e-04;2e-04;1e-04;1e-04
"80";"27 - Desporto e Lazer";"Desporto e Lazer";"DESPORTO E LAZER";"Municípios";5e-04;6e-04;6e-04;5e-04;6e-04;7e-04;7e-04;6e-04;7e-04;6e-04;6e-04;6e-04;6e-04;7e-04;6e-04;5e-04
"81";"27 - Desporto e Lazer";"Desporto e Lazer";"DESPORTO E LAZER";"União";2e-04;1e-04;1e-04;2e-04;3e-04;5e-04;3e-04;3e-04;3e-04;3e-04;3e-04;4e-04;4e-04;3e-04;2e-04;2e-04
"82";"28 - Encargos Especiais";"Encargos Especiais";"ENCARGOS ESPECIAIS";"Estados";0,0237;0,0341;0,0334;0,0338;0,0327;0,0317;0,0326;0,0317;0,0301;0,0286;0,0281;0,0249;0,0257;0,0261;0,0226;0,0226
"83";"28 - Encargos Especiais";"Encargos Especiais";"ENCARGOS ESPECIAIS";"Municípios";0,0027;0,0031;0,0029;0,0026;0,003;0,0032;0,0033;0,0032;0,0032;0,0032;0,003;0,003;0,0028;0,0029;0,003;0,0032
"84";"28 - Encargos Especiais";"Encargos Especiais";"ENCARGOS ESPECIAIS";"União";0,2921;0,3575;0,3078;0,349;0,3231;0,2782;0,2387;0,2457;0,2138;0,215;0,2083;0,1831;0,22;0,2125;0,2333;0,1975
